"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250"
"V11",0.139583,0.109052,0.10954,0.163589,0.129668,1,0.234612,0.113882,0.147522,0.256668,0.0714199,0.123706,0.241943,1,0.151964,0.143545,0.143345,0.133544,0.126497,0.108736,0.171759,0.219474,0.151835,0.139583,0.144349,0.195677,0.172857,0.120495,1,0.144596,1,1,1,0.155675,0.147522,0.156649,0.161866,0.256244,0.133981,0.126025,0.0562504,0.152526,0.0631848,0.150835,0.163885,0.124753,1,0.122242,0.116005,0.107273,0.134044,1,0.094547,0.0812456,0.107895,0.094829,0.130176,0.158229,0.109672,0.117518,0.102853,0.147522,0.124632,0.147522,0.132095,0.113553,0.0981416,0.167202,0.0860487,0.122527,0.0845162,0.299604,1,0.128699,0.0808615,0.0885785,0.108894,0.107742,0.135561,0.123614,0.126025,0.154198,1,0.149991,0.168175,0.169593,0.165119,0.156446,1,0.132973,0.113039,0.162462,0.125547,0.126666,0.122188,0.108777,0.109101,0.181668,0.14106,0.184792,0.187552,0.164781,0.125113,0.158908,0.173926,0.126265,1,0.143345,1,0.108351,0.114668,0.147298,0.183184,0.106996,1,0.121222,0.133238,0.14831,0.146146,0.195658,0.129685,0.0919463,0.102534,0.173486,0.127006,0.0798478,1,0.107282,0.125535,0.0997915,0.100039,0.146553,0.109429,0.153098,0.289092,0.177346,0.144401,0.158229,0.108928,1,0.147522,0.100994,0.13529,0.0695229,0.0855125,0.214512,0.125432,0.120616,0.152998,0.131085,0.147522,0.144596,0.0905235,0.128958,0.124632,0.127815,1,0.0777141,0.0946832,0.115584,0.10954,0.197426,0.147522,0.130077,0.0960721,0.175745,0.13976,0.123819,1,0.112495,0.101051,0.219591,0.122242,0.10954,0.127978,0.134655,1,0.151835,0.239761,0.229894,0.18298,0.297407,0.155952,0.113339,0.149714,0.0639329,0.187888,0.13976,0.111393,0.0908552,0.149458,0.200321,0.107282,0.166567,0.107837,0.100158,0.129668,1,1,0.0959721,0.179766,0.115531,0.11554,0.169199,0.268797,0.100885,0.111333,0.143545,0.124903,0.100759,0.0886384,0.109914,0.177346,0.0800091,0.124632,0.121282,0.11158,0.146714,0.0641429,0.113039,0.10954,0.120331,0.146714,1,0.121721,0.147522,1,0.164461,1,0.116222,0.178949,0.100292,0.0627884,0.167192,0.0637115,1,0.146836,0.122964,0.0313403,0.197475,0.0912673,0.23238,0.0956786,0.0667889,1,0.143345,0.184616,0.10954,0.141267,0.0969686
"V12",0.185225,0.115596,0.170681,0.135286,0.140797,1,0.226806,0.0550972,0.191792,0.220515,0.0995955,0.0785652,0.258655,1,0.0903231,0.110647,0.120892,0.161391,0.0466807,0.169085,0.180471,0.147916,0.0980953,0.185225,0.120176,0.234084,0.173588,0.0459553,1,0.113779,1,1,1,0.11712,0.191792,0.2,0.0746037,0.264517,0.158642,0.15388,0.168321,0.0899587,0.109271,0.0952801,0.173403,0.147315,1,0.177321,0.0916833,0.0534218,0.17373,1,0.198244,0.103326,0.0728187,0.0644799,0.193434,0.14693,0.160419,0.0520273,0.0578848,0.191792,0.175264,0.191792,0.191193,0.157138,0.0991759,0.166956,0.110402,0.0929674,0.0980625,0.293308,1,0.0343704,0.133133,0.137296,0.0946297,0.167295,0.131208,0.0886282,0.15388,0.132983,1,0.094283,0.1584,0.19207,0.0933928,0.0756363,1,0.199714,0.156066,0.0727526,0.0522673,0.165431,0.145752,0.128514,0.158962,0.148116,0.0469789,0.178482,0.0979633,0.153917,0.1436,0.184823,0.153611,0.137573,1,0.120892,1,0.158878,0.0613777,0.166113,0.160399,0.0728335,1,0.167432,0.138918,0.113056,0.157626,0.150428,0.119059,0.132943,0.109651,0.103975,0.0804841,0.132569,1,0.162476,0.164127,0.105685,0.10933,0.123117,0.0999408,0.172571,0.312004,0.164373,0.121068,0.14693,0.105565,1,0.191792,0.0810571,0.134701,0.106263,0.160619,0.22916,0.0839424,0.0526124,0.127424,0.0807271,0.191792,0.113779,0.0811149,0.121994,0.175264,0.154867,1,0.0983244,0.0735343,0.1498,0.170681,0.193848,0.191792,0.137477,0.10463,0.153436,0.13337,0.0907641,1,0.0783156,0.0731097,0.17325,0.177321,0.170681,0.14003,0.126086,1,0.0980953,0.189138,0.178348,0.217199,0.240842,0.162118,0.172792,0.0984763,0.115645,0.14522,0.13337,0.16948,0.141234,0.111857,0.180051,0.162476,0.089052,0.165032,0.143637,0.140797,1,1,0.147464,0.0853559,0.149823,0.0538445,0.14758,0.219023,0.156304,0.0992633,0.110647,0.0508271,0.144133,0.157367,0.100909,0.164373,0.09831,0.175264,0.0598915,0.0736902,0.14395,0.116903,0.156066,0.170681,0.039096,0.14395,1,0.136209,0.191792,1,0.126725,1,0.149615,0.159862,0.106651,0.11807,0.171732,0.118559,1,0.136365,0.146327,0.136104,0.137697,0.0955487,0.217105,0.134183,0.104302,1,0.120892,0.228264,0.170681,0.197793,0.0911345
"V13",0.359624,0.301165,0.338821,0.337594,0.322647,1,0.244962,0.261966,0.365439,0.344383,0.246758,0.244779,0.0763694,1,0.31326,0.312492,0.323129,0.326376,0.273739,0.295265,0.27922,0.299035,0.305272,0.359624,0.259785,0.194858,0.215519,0.249937,1,0.299693,1,1,1,0.216878,0.365439,0.313503,0.321448,0.158793,0.354078,0.317683,0.266058,0.244903,0.302108,0.248478,0.173877,0.310171,1,0.345762,0.289029,0.252693,0.356543,1,0.301734,0.31423,0.263792,0.257626,0.280902,0.330252,0.326859,0.280021,0.264669,0.365439,0.343101,0.365439,0.278837,0.343939,0.235738,0.350018,0.232746,0.287042,0.246721,0.212257,1,0.280274,0.315858,0.318597,0.24288,0.297453,0.315046,0.291221,0.317683,0.274009,1,0.315687,0.166343,0.27591,0.313217,0.236835,1,0.272828,0.331212,0.273408,0.264145,0.21996,0.257765,0.338096,0.218614,0.225201,0.275986,0.18515,0.306815,0.172735,0.305786,0.24511,0.34989,0.203189,1,0.323129,1,0.331193,0.269766,0.211559,0.168966,0.263415,1,0.259562,0.269217,0.30332,0.186866,0.358732,0.197356,0.322949,0.289772,0.326856,0.277128,0.315095,1,0.329519,0.35566,0.285835,0.290395,0.302078,0.299785,0.337822,0.120547,0.274158,0.304896,0.330252,0.255058,1,0.365439,0.287018,0.31565,0.313032,0.310586,0.131762,0.286436,0.279644,0.221063,0.279443,0.365439,0.299693,0.274178,0.269801,0.343101,0.319026,1,0.240823,0.268689,0.33851,0.338821,0.205117,0.365439,0.234604,0.289836,0.226868,0.31047,0.231567,1,0.282835,0.259554,0.317158,0.345762,0.338821,0.305314,0.198759,1,0.305272,0.250816,0.234524,0.165009,0.252937,0.200986,0.341679,0.255579,0.268196,0.352115,0.31047,0.337239,0.214403,0.256246,0.288373,0.329519,0.319978,0.332923,0.225418,0.322647,1,1,0.337547,0.318819,0.345947,0.261393,0.207357,0.271892,0.25373,0.298341,0.312492,0.278002,0.250989,0.240403,0.284743,0.274158,0.248993,0.343101,0.28589,0.277272,0.321118,0.249935,0.331212,0.338821,0.268388,0.321118,1,0.259952,0.365439,1,0.214686,1,0.340174,0.233774,0.235171,0.305572,0.222041,0.306253,1,0.27907,0.308829,0.283287,0.305333,0.239022,0.151218,0.326396,0.247263,1,0.323129,0.170407,0.338821,0.300929,0.220007
"V14",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V15",0.202767,0.117889,0.172383,0.112176,0.165164,1,0.19256,0.0873435,0.209334,0.177723,0.148874,0.158175,0.296319,1,0.0188643,0.119722,0.127953,0.165236,0.0966372,0.122209,0.118941,0.210824,0.145293,0.202767,0.12592,0.226383,0.189941,0.0918056,1,0.147073,1,1,1,0.181837,0.209334,0.218297,0.0351217,0.217165,0.195719,0.152669,0.179864,0.130583,0.141022,0.125992,0.188591,0.15724,1,0.183621,0.0875322,0.102433,0.191272,1,0.215786,0.153974,0.104341,0.0882014,0.209429,0.157015,0.176973,0.0938118,0.0715348,0.209334,0.186281,0.209334,0.208177,0.184747,0.130178,0.122428,0.141504,0.0895327,0.123011,0.25168,1,0.0899304,0.147097,0.13968,0.143725,0.0955617,0.0664956,0.0869028,0.152669,0.130872,1,0.0530733,0.199807,0.204823,0.0386969,0.114338,1,0.152558,0.180722,0.137817,0.0895318,0.183601,0.0997927,0.162209,0.163207,0.216043,0.115494,0.207373,0.0838883,0.195182,0.158834,0.128064,0.100556,0.170196,1,0.127953,1,0.177933,0.0898536,0.185626,0.204105,0.103475,1,0.216145,0.160994,0.155559,0.174224,0.123282,0.163972,0.143429,0.120195,0.0601806,0.0978636,0.146193,1,0.174313,0.127483,0.118124,0.118654,0.139367,0.128043,0.120748,0.340184,0.183402,0.0645838,0.157015,0.149674,1,0.209334,0.123,0.131008,0.146631,0.158568,0.270526,0.145856,0.0963987,0.18951,0.081895,0.209334,0.147073,0.111039,0.145664,0.186281,0.154263,1,0.104486,0.11993,0.185512,0.172383,0.156485,0.209334,0.155364,0.10037,0.202669,0.132736,0.153924,1,0.10213,0.103629,0.203113,0.183621,0.172383,0.162351,0.171685,1,0.145293,0.139527,0.145761,0.233538,0.221185,0.172934,0.175771,0.124279,0.141326,0.118061,0.132736,0.17053,0.159919,0.134614,0.218605,0.174313,0.163878,0.178318,0.165829,0.165164,1,1,0.0899387,0.0609589,0.11318,0.0903615,0.182611,0.1651,0.168071,0.118004,0.119722,0.10039,0.172043,0.16401,0.132573,0.183402,0.11927,0.186281,0.0876311,0.109325,0.144196,0.144501,0.180722,0.172383,0.0874592,0.144196,1,0.146074,0.209334,1,0.155997,1,0.188631,0.153064,0.134847,0.134799,0.189626,0.135616,1,0.128609,0.155646,0.166855,0.0729996,0.124693,0.24895,0.108465,0.152121,1,0.127953,0.233174,0.172383,0.211286,0.135641
"V16",0.102614,0.0496738,0.119836,0.127141,0.113769,1,0.245257,0.0738571,0.110553,0.216052,0.14381,0.168481,0.29478,1,0.128846,0,0.100997,0.0878695,0.0787417,0.140951,0.21718,0.183652,0.117251,0.102614,0.0856786,0.267856,0.179698,0.0976855,1,0.101192,1,1,1,0.166985,0.110553,0.137633,0.142372,0.27413,0.115857,0.102311,0.151625,0.112815,0.105598,0.109925,0.172183,0.108903,1,0.105113,0.0412502,0.0998195,0.0924916,1,0.133201,0.118185,0.0852835,0.0899154,0.130629,0.0586892,0.123951,0.0773204,0.0822005,0.110553,0.104088,0.110553,0.12972,0.134225,0.131117,0.140632,0.126984,0.0336297,0.110671,0.32493,1,0.0953087,0.0990488,0.089457,0.131635,0.137639,0.102419,0.0382157,0.102311,0.0617897,1,0.0949474,0.205663,0.155253,0.127046,0.130636,1,0.176295,0.121547,0.108201,0.0904619,0.150355,0.175297,0.0870527,0.142096,0.189776,0.092941,0.19953,0.156489,0.199186,0.111298,0.185274,0.138592,0.153041,1,0.100997,1,0.128289,0.0698867,0.161277,0.211014,0.0851879,1,0.179183,0.104539,0.104621,0.163014,0.157086,0.167711,0.0870527,0.0694411,0.12307,0.0463278,0.0988256,1,0.124976,0.0885288,0.073256,0.0728184,0.093803,0.0822081,0.136076,0.318695,0.134875,0.128311,0.0586892,0.122972,1,0.110553,0.089633,0.0880012,0.112893,0.191429,0.2762,0.100799,0.0784256,0.186386,0.0462093,0.110553,0.101192,0.0928109,0.106357,0.104088,0.102692,1,0.114773,0.0958712,0.13712,0.119836,0.231035,0.110553,0.112972,0.0641233,0.179475,0.0838145,0.174241,1,0.052382,0.0841773,0.16095,0.105113,0.119836,0.111363,0.159241,1,0.117251,0.220842,0.241715,0.226831,0.280321,0.19141,0.120669,0.105667,0.119792,0.151852,0.0838145,0.119287,0.150564,0.0905413,0.171085,0.124976,0.130346,0.126084,0.138346,0.113769,1,1,0.122509,0.14359,0.0934613,0.0752971,0.185816,0.249753,0.113549,0.078332,0,0.0801824,0.128371,0.148463,0.0785947,0.134875,0.10889,0.104088,0.0732471,0.0937149,0.0715082,0.119592,0.121547,0.119836,0.0951344,0.0715082,1,0.104144,0.110553,1,0.143036,1,0.138577,0.189026,0.125165,0.101952,0.154851,0.102112,1,0.18788,0.108521,0.130486,0.17346,0.117659,0.238859,0.134443,0.11573,1,0.100997,0.215895,0.119836,0.160288,0.13621
"V17",0.154612,0.0910676,0.156687,0.200568,0.152279,1,0.316799,0.165632,0.163829,0.223612,0.182528,0.232103,0.250427,1,0.217044,0.109127,0.172267,0.126936,0.163031,0.171843,0.278892,0.188637,0.187473,0.154612,0.162652,0.190043,0.118513,0.189317,1,0.177465,1,1,1,0.239664,0.163829,0.109666,0.230427,0.244797,0.149076,0.141276,0.175987,0.194581,0.144435,0.192011,0.245811,0.148122,1,0.141312,0.134347,0.165949,0.149073,1,0.174394,0.157236,0.150985,0.155062,0.0816096,0.151452,0.159119,0.169584,0.173089,0.163829,0.139255,0.163829,0.0619213,0.171533,0.19649,0.194916,0.17729,0.125017,0.184633,0.288052,1,0.181511,0.13897,0.126898,0.203447,0.186789,0.166242,0.132046,0.141276,0.138176,1,0.18275,0.277412,0.127943,0.215243,0.215598,1,0.200352,0.154766,0.195207,0.177756,0.186057,0.230152,0.122545,0.186927,0.123801,0.186494,0.180658,0.241053,0.273584,0.150272,0.240155,0.212503,0.208066,1,0.172267,1,0.165596,0.163301,0.0787375,0.238879,0.150396,1,0.119187,0.153507,0.182301,0.236606,0.228885,0.241364,0.122545,0.107512,0.206511,0.137715,0.138407,1,0.161175,0.12267,0.110975,0.111537,0.169304,0.120926,0.190217,0.266129,0.141523,0.193034,0.151452,0.197909,1,0.163829,0.141275,0.165383,0.151944,0.224029,0.214712,0.137631,0.171169,0.25013,0.135641,0.163829,0.177465,0.143527,0.161098,0.139255,0.142264,1,0.187561,0.147132,0.173971,0.156687,0.299031,0.163829,0.181222,0.114206,0.120828,0.159316,0.239903,1,0.146061,0.149429,0.167624,0.141312,0.156687,0.149777,0.23268,1,0.187473,0.191511,0.200402,0.169947,0.24224,0.256772,0.158798,0.186701,0.158247,0.221947,0.159316,0.155486,0.194788,0.167515,0.156292,0.161175,0.201779,0.163732,0.183374,0.152279,1,1,0.173256,0.230983,0.139513,0.167528,0.254676,0.214524,0.158795,0.114943,0.109127,0.173283,0.17494,0.172473,0.118222,0.141523,0.182422,0.139255,0.166628,0.159532,0.148471,0.15903,0.154766,0.156687,0.186123,0.148471,1,0.150513,0.163829,1,0.127503,1,0.175428,0.261114,0.19593,0.141003,0.222586,0.141492,1,0.23794,0.147134,0.151781,0.255978,0.188961,0.210574,0.185582,0.150654,1,0.172267,0.158706,0.156687,0.138857,0.209937
"V18",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"V19",0.261343,0.181287,0.232331,0.214362,0.215508,1,0.296278,0.125807,0.267909,0.185598,0.172738,0.198759,0.226375,1,0.163591,0.177552,0.198953,0.220596,0.158824,0.215293,0.249436,0.163118,0.204897,0.261343,0.177325,0.17844,0.0532757,0.139572,1,0.19322,1,1,1,0.214231,0.267909,0.199198,0.177308,0.176795,0.255741,0.211262,0.224906,0.174297,0.186689,0.177421,0.220846,0.203292,1,0.244002,0.142791,0.144699,0.253153,1,0.259894,0.200658,0.148755,0.130792,0.153035,0.21143,0.227746,0.132745,0.124884,0.267909,0.246391,0.267909,0.15564,0.236947,0.167741,0.241525,0.169429,0.152337,0.148508,0.230568,1,0.14844,0.196287,0.209006,0.173951,0.211969,0.191742,0.143728,0.211262,0.187433,1,0.17705,0.230466,0.148361,0.183622,0.171839,1,0.246287,0.231114,0.192522,0.14871,0.224698,0.200369,0.228173,0.206455,0.113638,0.157038,0.14788,0.214479,0.223335,0.202408,0.236119,0.223404,0.201583,1,0.198953,1,0.227027,0.130055,0.0820108,0.198772,0.147945,1,0.140098,0.210984,0.198414,0.199143,0.250557,0.189128,0.212373,0.166812,0.208308,0.156531,0.195274,1,0.225357,0.246134,0.161868,0.167435,0.198047,0.176825,0.228714,0.230309,0.139792,0.179834,0.21143,0.176833,1,0.267909,0.165037,0.188029,0.190605,0.241203,0.170546,0.189703,0.135732,0.229066,0.148973,0.267909,0.19322,0.157164,0.199167,0.246391,0.213051,1,0.140246,0.163419,0.234118,0.232331,0.255865,0.267909,0.196939,0.16404,0.0999703,0.191254,0.194176,1,0.141214,0.148373,0.168668,0.244002,0.232331,0.216665,0.196329,1,0.204897,0.135595,0.121695,0.114401,0.162004,0.229835,0.23613,0.172873,0.175601,0.244804,0.191254,0.234184,0.188391,0.178141,0.169381,0.225357,0.221207,0.225911,0.190062,0.215508,1,1,0.212759,0.202986,0.231971,0.129286,0.237232,0.112917,0.203172,0.178126,0.177552,0.140688,0.204869,0.201749,0.176819,0.139792,0.144181,0.246391,0.139745,0.156581,0.199915,0.167878,0.231114,0.232331,0.134606,0.199915,1,0.198466,0.267909,1,0.0845709,1,0.235171,0.237412,0.167075,0.181548,0.240353,0.182471,1,0.229719,0.201503,0.199413,0.223553,0.155011,0.150396,0.212021,0.176587,1,0.198953,0.123989,0.232331,0.182427,0.161413
"V20",0.252781,0.180598,0.221844,0.19516,0.213162,1,0.126619,0.137349,0.258926,0.264484,0.140503,0.155767,0.245695,1,0.133541,0.173323,0.188816,0.213336,0.163323,0.0954477,0.0992097,0.268317,0.209475,0.252781,0.124952,0.226625,0.214334,0.153526,1,0.196964,1,1,1,0.163551,0.258926,0.270898,0.144914,0.218755,0.247181,0.198115,0.174585,0.131393,0.188462,0.129818,0.120344,0.200814,1,0.236532,0.134623,0.166381,0.245448,1,0.213555,0.216161,0.150934,0.152848,0.248996,0.202495,0.229283,0.139449,0.137629,0.258926,0.238591,0.258926,0.252298,0.231655,0.111103,0.188933,0.109987,0.146326,0.100828,0.196447,1,0.148074,0.196467,0.200641,0.114386,0.10312,0.14192,0.142147,0.198115,0.12981,1,0.140753,0.13414,0.249464,0.129876,0.144096,1,0.0669811,0.232185,0.141793,0.141154,0.126344,0.105742,0.222322,0.151219,0.242756,0.162918,0.181072,0.158121,0.129623,0.202343,0.120431,0.187734,0.150048,1,0.188816,1,0.224842,0.13665,0.214937,0.206313,0.14967,1,0.247172,0.167072,0.197553,0.0956907,0.205365,0.0898553,0.203543,0.17039,0.140578,0.150475,0.19757,1,0.227224,0.185491,0.165411,0.164465,0.187025,0.173854,0.18832,0.264679,0.228123,0.129878,0.202495,0.116343,1,0.258926,0.170767,0.174895,0.193952,0.13864,0.20673,0.194172,0.142653,0.103168,0.139442,0.258926,0.196964,0.175739,0.145862,0.238591,0.197916,1,0.0868463,0.182328,0.234972,0.221844,0.149806,0.258926,0.0757433,0.160563,0.229015,0.180394,0.103183,1,0.144749,0.14916,0.258815,0.236532,0.221844,0.213901,0.0780008,1,0.209475,0.19832,0.216297,0.20845,0.206096,0.143664,0.22106,0.128245,0.123834,0.193679,0.180394,0.223441,0.15158,0.12955,0.263463,0.227224,0.219973,0.223219,0.145651,0.213162,1,1,0.150361,0.142383,0.174348,0.138108,0.122485,0.225814,0.151169,0.171293,0.173323,0.147166,0.104859,0.0843339,0.178565,0.228123,0.0963692,0.238591,0.134024,0.155772,0.192574,0.126229,0.232185,0.221844,0.148655,0.192574,1,0.159422,0.258926,1,0.184486,1,0.238092,0.1331,0.109417,0.184229,0.116489,0.185312,1,0.119252,0.201013,0.159526,0.124334,0.096954,0.246912,0.163801,0.139285,1,0.188816,0.209127,0.221844,0.257857,0.12094
"V21",0.302726,0.240806,0.272164,0.21989,0.270413,1,0.138226,0.19012,0.307868,0.278777,0.184569,0.133201,0.274388,1,0.153339,0.243936,0.230777,0.269402,0.185913,0.149524,0.0600648,0.290621,0.225203,0.302726,0.192724,0.237358,0.281511,0.184316,1,0.241481,1,1,1,0.186105,0.307868,0.322858,0.156684,0.245411,0.298554,0.258064,0.225828,0.170993,0.240935,0.172422,0.178955,0.263671,1,0.286287,0.209557,0.198045,0.29439,1,0.264268,0.250523,0.211422,0.204231,0.304602,0.269664,0.280773,0.206882,0.184679,0.307868,0.288677,0.307868,0.305994,0.285257,0.138916,0.232026,0.170938,0.217739,0.166747,0.205392,1,0.197939,0.253354,0.252595,0.163228,0.142708,0.183593,0.217313,0.258064,0.206831,1,0.176252,0.123929,0.309909,0.156464,0.158478,1,0.131081,0.284141,0.183076,0.183987,0.187024,0.120803,0.274742,0.217498,0.28497,0.208287,0.240664,0.134126,0.137263,0.262754,0.148341,0.21015,0.1912,1,0.230777,1,0.278896,0.201774,0.279276,0.220044,0.210398,1,0.299749,0.223141,0.239108,0.161365,0.197349,0.131258,0.255963,0.233788,0.136649,0.205256,0.252341,1,0.278383,0.24147,0.229822,0.230673,0.237333,0.240063,0.227752,0.315243,0.290514,0.171798,0.269664,0.183312,1,0.307868,0.231731,0.242019,0.250428,0.181313,0.242961,0.229172,0.208103,0.111804,0.211642,0.307868,0.241481,0.219102,0.214247,0.288677,0.259853,1,0.147175,0.212001,0.286327,0.272164,0.135764,0.307868,0.153912,0.222356,0.29009,0.247587,0.129875,1,0.20908,0.199545,0.305562,0.286287,0.272164,0.253921,0.133165,1,0.225203,0.209765,0.181973,0.270484,0.233747,0.130723,0.275963,0.185402,0.18866,0.18325,0.247587,0.274017,0.190971,0.19365,0.307669,0.278383,0.23622,0.278938,0.208954,0.270413,1,1,0.205367,0.15957,0.232729,0.18947,0.151585,0.242675,0.216285,0.233261,0.243936,0.209722,0.177812,0.159591,0.226367,0.290514,0.166425,0.288677,0.204446,0.218928,0.258149,0.189492,0.284141,0.272164,0.196836,0.258149,1,0.212943,0.307868,1,0.247263,1,0.286619,0.154743,0.146892,0.243456,0.156165,0.244379,1,0.137919,0.261882,0.215009,0.102773,0.157684,0.293576,0.211539,0.184526,1,0.230777,0.265117,0.272164,0.314294,0.151205
"V22",0.176587,0.19417,0.153297,0.123363,0.14127,1,0.303032,0.153228,0.182732,0.0720383,0.221529,0.198515,0.321444,1,0.200348,0.181124,0.103867,0.145509,0.131493,0.253365,0.2834,0.0269237,0.0883106,0.176587,0.169405,0.260587,0.15412,0.153307,1,0.107248,1,1,1,0.211383,0.182732,0.12511,0.206095,0.272698,0.174264,0.134602,0.238583,0.165816,0.176274,0.170427,0.251294,0.123879,1,0.163845,0.158439,0.166589,0.187932,1,0.24874,0.187082,0.164884,0.172272,0.213917,0.138586,0.147725,0.164865,0.164062,0.182732,0.165468,0.182732,0.209938,0.155866,0.181941,0.163946,0.197235,0.165177,0.184941,0.275343,1,0.159587,0.168566,0.180915,0.192623,0.242775,0.201819,0.180613,0.134602,0.18563,1,0.174993,0.254509,0.0714924,0.196773,0.166319,1,0.281166,0.150012,0.169342,0.148003,0.267943,0.244342,0.199001,0.238253,0.180804,0.161496,0.23062,0.185818,0.253363,0.123534,0.259472,0.131703,0.215789,1,0.103867,1,0.146236,0.153432,0.170467,0.220633,0.166502,1,0.19146,0.170333,0.0994738,0.23778,0.126145,0.223245,0.183202,0.164294,0.175834,0.157146,0.169435,1,0.146103,0.217021,0.162076,0.161856,0.113816,0.171245,0.149875,0.29502,0.0648114,0.208419,0.138586,0.211847,1,0.182732,0.176755,0.115531,0.181897,0.248148,0.283221,0.169277,0.162635,0.230989,0.18165,0.182732,0.107248,0.174918,0.202674,0.165468,0.132979,1,0.206003,0.16927,0.15575,0.153297,0.280064,0.182732,0.241807,0.183682,0.184776,0.12227,0.223032,1,0.142522,0.166403,0.046345,0.163845,0.153297,0.12611,0.214487,1,0.0883106,0.198334,0.188428,0.206236,0.212907,0.261574,0.149983,0.18077,0.220606,0.124268,0.12227,0.154556,0.233936,0.168191,0.0671929,0.146103,0.0980173,0.142947,0.224444,0.14127,1,1,0.212587,0.201612,0.226383,0.151297,0.240139,0.191765,0.240705,0.180162,0.181124,0.161421,0.248943,0.24335,0.154857,0.0648114,0.187009,0.165468,0.170548,0.175963,0.130768,0.200413,0.150012,0.153297,0.170429,0.130768,1,0.174702,0.182732,1,0.169243,1,0.157041,0.231539,0.180675,0.173514,0.238596,0.172382,1,0.244921,0.125501,0.212932,0.241125,0.190572,0.248785,0.20576,0.205558,1,0.103867,0.221851,0.153297,0.096746,0.191524
